Game Date,Visitor,Visitor Score,Home,Home Score,Game URL,OT
12-11-2019 19:30,Detroit Pistons,108,Miami Heat,117,https://www.basketball-reference.com/boxscores/201911120MIA.html,
12-11-2019 20:00,New York Knicks,102,Chicago Bulls,120,https://www.basketball-reference.com/boxscores/201911120CHI.html,
12-11-2019 21:00,Atlanta Hawks,125,Denver Nuggets,121,https://www.basketball-reference.com/boxscores/201911120DEN.html,
12-11-2019 21:00,Los Angeles Lakers,123,Phoenix Suns,115,https://www.basketball-reference.com/boxscores/201911120PHO.html,
12-11-2019 21:00,Brooklyn Nets,114,Utah Jazz,119,https://www.basketball-reference.com/boxscores/201911120UTA.html,
12-11-2019 22:00,Portland Trail Blazers,99,Sacramento Kings,107,https://www.basketball-reference.com/boxscores/201911120SAC.html,
13-11-2019 19:00,Memphis Grizzlies,119,Charlotte Hornets,117,https://www.basketball-reference.com/boxscores/201911130CHO.html,
13-11-2019 19:00,Philadelphia 76ers,97,Orlando Magic,112,https://www.basketball-reference.com/boxscores/201911130ORL.html,
13-11-2019 19:30,Washington Wizards,133,Boston Celtics,140,https://www.basketball-reference.com/boxscores/201911130BOS.html,
13-11-2019 19:30,Los Angeles Clippers,93,Houston Rockets,102,https://www.basketball-reference.com/boxscores/201911130HOU.html,
13-11-2019 20:00,San Antonio Spurs,114,Minnesota Timberwolves,129,https://www.basketball-reference.com/boxscores/201911130MIN.html,
13-11-2019 22:00,Golden State Warriors,94,Los Angeles Lakers,120,https://www.basketball-reference.com/boxscores/201911130LAL.html,
13-11-2019 22:00,Toronto Raptors,114,Portland Trail Blazers,106,https://www.basketball-reference.com/boxscores/201911130POR.html,
14-11-2019 18:00,Miami Heat,108,Cleveland Cavaliers,97,https://www.basketball-reference.com/boxscores/201911140CLE.html,
14-11-2019 20:00,Chicago Bulls,115,Milwaukee Bucks,124,https://www.basketball-reference.com/boxscores/201911140MIL.html,
14-11-2019 20:00,Los Angeles Clippers,127,New Orleans Pelicans,132,https://www.basketball-reference.com/boxscores/201911140NOP.html,
14-11-2019 20:00,Dallas Mavericks,103,New York Knicks,106,https://www.basketball-reference.com/boxscores/201911140NYK.html,
14-11-2019 21:00,Atlanta Hawks,112,Phoenix Suns,128,https://www.basketball-reference.com/boxscores/201911140PHO.html,
14-11-2019 22:30,Brooklyn Nets,93,Denver Nuggets,101,https://www.basketball-reference.com/boxscores/201911140DEN.html,
15-11-2019 19:00,Detroit Pistons,106,Charlotte Hornets,109,https://www.basketball-reference.com/boxscores/201911150CHO.html,
15-11-2019 19:00,San Antonio Spurs,109,Orlando Magic,111,https://www.basketball-reference.com/boxscores/201911150ORL.html,
15-11-2019 20:00,Indiana Pacers,102,Houston Rockets,111,https://www.basketball-reference.com/boxscores/201911150HOU.html,
15-11-2019 20:00,Utah Jazz,106,Memphis Grizzlies,107,https://www.basketball-reference.com/boxscores/201911150MEM.html,
15-11-2019 20:00,Washington Wizards,137,Minnesota Timberwolves,116,https://www.basketball-reference.com/boxscores/201911150MIN.html,
15-11-2019 20:00,Philadelphia 76ers,119,Oklahoma City Thunder,127,https://www.basketball-reference.com/boxscores/201911150OKC.html,OT
15-11-2019 22:30,Boston Celtics,105,Golden State Warriors,100,https://www.basketball-reference.com/boxscores/201911150GSW.html,
15-11-2019 22:30,Sacramento Kings,97,Los Angeles Lakers,99,https://www.basketball-reference.com/boxscores/201911150LAL.html,
16-11-2019 18:00,Brooklyn Nets,117,Chicago Bulls,111,https://www.basketball-reference.com/boxscores/201911160CHI.html,
16-11-2019 19:00,Milwaukee Bucks,102,Indiana Pacers,83,https://www.basketball-reference.com/boxscores/201911160IND.html,
16-11-2019 19:30,Charlotte Hornets,103,New York Knicks,102,https://www.basketball-reference.com/boxscores/201911160NYK.html,
16-11-2019 20:00,New Orleans Pelicans,94,Miami Heat,109,https://www.basketball-reference.com/boxscores/201911160MIA.html,
16-11-2019 20:00,Houston Rockets,125,Minnesota Timberwolves,105,https://www.basketball-reference.com/boxscores/201911160MIN.html,
16-11-2019 20:30,Toronto Raptors,102,Dallas Mavericks,110,https://www.basketball-reference.com/boxscores/201911160DAL.html,
16-11-2019 20:30,Portland Trail Blazers,121,San Antonio Spurs,116,https://www.basketball-reference.com/boxscores/201911160SAS.html,
16-11-2019 22:30,Atlanta Hawks,101,Los Angeles Clippers,150,https://www.basketball-reference.com/boxscores/201911160LAC.html,
17-11-2019 15:00,Philadelphia 76ers,114,Cleveland Cavaliers,95,https://www.basketball-reference.com/boxscores/201911170CLE.html,
17-11-2019 15:30,Boston Celtics,99,Sacramento Kings,100,https://www.basketball-reference.com/boxscores/201911170SAC.html,
