Price,Posted Date,Unit No.,Address,Bedrooms,Bathrooms,Parking,Size,Maintenance,URL
479900,Jul-29-2020,3606,21 Carlton St,0,1,0,499,284,https://condos.ca/toronto/the-met-21-carlton-st/unit-3606-C4849342
399000,Jul-29-2020,1503,8 Colborne St,1,1,0,499,710,https://condos.ca/toronto/cosmopolitan-8-colborne-st/unit-1503-C4848603
499990,Jul-29-2020,1305,66 Forest Manor Rd,1,1,1,600,413,https://condos.ca/toronto/emerald-city-2-66-forest-manor-rd/unit-1305-C4848976
499000,Jul-29-2020,604,11753 Sheppard Ave,2,2,1,1000,728,https://condos.ca/toronto/platinum-rouge-11753-sheppard-ave-e/unit-604-E4848442
482500,Jul-29-2020,408,21 Markbrook Lane,2,2,1,1000,587,https://condos.ca/toronto/consulate-ii-properties-21-markbrook-ln/unit-408-W4848369
499888,Jul-29-2020,1112,14 York St,1.5,1,0,500,438,https://condos.ca/toronto/ice-condos-ice-condos-ii-12-york-st-14-york-st/unit-1112-C4848339
399000,Jul-30-2020,1703,2550 Lawrence Ave E,2,2,1,900,643,https://condos.ca/toronto/scarborough-fair-2-2550-lawrence-ave-e/unit-1703-E4849836
499000,Jul-30-2020,359,525 Wilson Ave,1,1,1,500,401,https://condos.ca/toronto/gramercy-park-525-wilson-ave/unit-359-C4850635
399200,Jul-28-2020,1707,1360 York Mills Rd,2,1,1,900,644,https://condos.ca/toronto/1350-york-mills-1350-york-mills-rd-1360-york-mills-rd/unit-1707-C4847528
489000,Jul-29-2020,514,75 Dalhousie St,1,1,0,600,567,https://condos.ca/toronto/the-boot-75-dalhousie-st/unit-514-C4848205
459000,Jul-29-2020,212,8 Trent Ave,2,1,0,600,325,https://condos.ca/toronto/the-village-by-main-station-8-trent-ave-14-trent-ave/unit-212-E4848430
499000,Jul-28-2020,1903,66 Forest Manor Rd,1,1,1,500,429,https://condos.ca/toronto/emerald-city-2-66-forest-manor-rd/unit-1903-C4847827
499000,Jul-29-2020,1805,627 The West Mall,3.5,2,1,1600,944,https://condos.ca/toronto/summit-royal-625-the-west-mall-627-the-west-mall/unit-1805-W4849067
499900,Jul-29-2020,1101,1201 Steeles Ave W,2.5,2,2,1400,1000,https://condos.ca/toronto/the-courtlands-1201-steeles-ave-w/unit-1101-C4848215
459000,Jul-29-2020,207,98 Lillian St,0,1,0,499,291,https://condos.ca/toronto/the-madison-at-yonge-and-eglinton-98-lillian-st-89-dunfield-ave-101-eglinton-ave-e/unit-207-C4848257
419999,Jul-29-2020,1013,2121 Lakeshore Blvd W,0,1,1,499,292,https://condos.ca/toronto/voyager-i-at-waterview-2121-lake-shore-blvd-w/unit-1013-W4848814
425000,Jul-28-2020,502,2 Glamorgan Ave,2,1,1,900,668,https://condos.ca/toronto/the-copenhagen-2-glamorgan-ave/unit-502-E4847459
449000,Jul-28-2020,521,700 Humberwood Blvd,1,1,1,600,364,https://condos.ca/toronto/mansions-of-humberwood-2-700-humberwood-blvd/unit-521-W4847464
459888,Jul-28-2020,702,60 Pavane Link Way,2.5,1,1,900,639,https://condos.ca/toronto/60-pavane-linkway-condos-60-pavane-linkway/unit-702-C4847242
369900,Jul-29-2020,1008,100 Dundalk Dr,2,1,1,900,550,https://condos.ca/toronto/kennedy-place-100-dundalk-dr/unit-1008-E4847908
399900,Jul-30-2020,602,15 London Green Crt,3,2,1,1000,831,https://condos.ca/toronto/15-london-green-court-condos-15-london-green-crt/unit-602-W4850380
499000,Jul-29-2020,LPH06,5500 Yonge St,1,1,1,500,409,https://condos.ca/toronto/pulse-5500-yonge-st/unit-Lph06-C4848780
499900,Jul-28-2020,203,955 O'connor Dr,2,2,1,1200,626,https://condos.ca/toronto/955-oconnor-condos-955-o-connor-dr/unit-203-E4847557
429000,Jul-28-2020,2019,3025 Finch Ave W,2,1,1,700,387,https://condos.ca/toronto/harmony-village-iii-3025-finch-ave-w-3049-finch-ave-w/unit-2019-W4847276
449000,Jul-28-2020,107,1071 Woodbine Ave,2,1,1,1000,712,https://condos.ca/toronto/1071-woodbine-avenue-condos-1071-woodbine-ave/unit-107-E4847533
419000,Jul-29-2020,,,1.5,1,1,700,569,https://condos.ca/toronto/park-vista-4-park-vista/unit-612-E4848483
499000,Jul-28-2020,1116,88 Blue Jays Way,1,1,0,499,389,https://condos.ca/toronto/bisha-hotel-residences-88-blue-jays-way/unit-1116-C4847073
420000,Jul-28-2020,PH19,5 Massey Sq,2,1,1,900,764,https://condos.ca/toronto/crescent-town-6-12-crescent-town-rd-1-5-massey-sq/unit-Ph19-E4847100
499900,Jul-29-2020,306,225 Sherway Gardens Rd,1.5,2,1,700,632,https://condos.ca/toronto/one-sherway-2-225-sherway-gardens-rd/unit-306-W4848190
499900,Jul-28-2020,3108,28 Ted Rogers Way,1.5,1,1,600,513,https://condos.ca/toronto/couture-28-ted-rogers-way/unit-3108-C4847098
435000,Jul-29-2020,1510,410 Mclevin Ave,2,2,1,900,569,https://condos.ca/toronto/mayfair-on-the-green-2-410-mclevin-ave/unit-1510-E4848235
424888,Jul-28-2020,38,2315 Sheppard Ave W,1,1,0,500,189,https://condos.ca/toronto/the-brownstones-at-westown-60-100-parrotta-dr-2315-2355-sheppard-ave-w/unit-38-W4847221
475000,Jul-29-2020,304,3520 Danforth Ave,1.5,1,1,600,425,https://condos.ca/toronto/terraces-on-danforth-3520-danforth-ave/unit-304-E4847901
414900,Jul-27-2020,1506,100 Wingarden Crt,2,2,1,1000,620,https://condos.ca/toronto/100-wingarden-court-condominium-100-wingarden-crt/unit-1506-E4846234
474900,Jul-27-2020,827,3 Greystone Walk Dr,2.5,2,1,900,751,https://condos.ca/toronto/greystone-walk-2-3-greystone-walk-dr/unit-827-E4846124
449900,Jul-29-2020,,,1,1,1,500,473,https://condos.ca/toronto/the-wave-4-elsinore-path/unit-1301-W4848318
467000,Jul-28-2020,611,1 King St W,0,1,0,499,651,https://condos.ca/toronto/one-king-west-hotel-residence-1-king-st-w/unit-611-C4847443
399900,Jul-28-2020,419,11753 Sheppard Ave E,2,2,1,1000,727,https://condos.ca/toronto/platinum-rouge-11753-sheppard-ave-e/unit-419-E4846343
429000,Jul-29-2020,1627,68 Corporate Dr,1,1,1,600,469,https://condos.ca/toronto/the-residences-at-the-consilium-2-68-corporate-dr/unit-1627-E4848945
499900,Jul-28-2020,610,17 Ruddington Dr,1,1,1,600,527,https://condos.ca/toronto/willow-park-at-bayview-17-ruddington-dr/unit-610-C4846542
419900,Jul-28-2020,1002,3380 Eglinton Ave,2,2,1,900,608,https://condos.ca/toronto/3380-eglinton-avenue-east-condos-3380-eglinton-ave-e/unit-1002-E4846475
444900,Jul-28-2020,304,5 Massey Sq,2,1,0,800,659,https://condos.ca/toronto/crescent-town-6-12-crescent-town-rd-1-5-massey-sq/unit-304-E4846590
